symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
IDBI,2022-11-03,2022-11-09,42.11,46.85,11.24,TARGET_HIT
IDBI,2022-11-18,2022-11-25,45.76,48.22,5.38,PARTIAL_EXIT_50%
IDBI,2022-11-18,2022-11-28,45.76,50.02,9.31,TARGET_HIT_RUNNER
IDBI,2023-08-22,2023-08-29,59.37,57.25,-3.57,MOMENTUM_FADE
IDBI,2024-01-03,2024-01-12,65.39,66.21,1.25,TIME_EXIT
IDBI,2025-11-12,2025-11-21,99.97,100.24,0.27,TIME_EXIT
IDBI,2026-02-10,2026-02-17,108.04,113.74,5.28,PARTIAL_EXIT_50%
IDBI,2026-02-10,2026-02-19,108.04,110.84,2.59,TIME_EXIT_RUNNER
IDEA,2025-02-07,2025-02-11,9.47,8.82,-6.86,STOP_LOSS
IDEA,2025-09-18,2025-09-19,7.84,8.4,7.14,PARTIAL_EXIT_50%
IDEA,2025-09-18,2025-09-23,7.84,8.72,11.22,TARGET_HIT_RUNNER
INDHOTEL,2024-01-18,2024-01-29,460.85,493.21,7.02,PARTIAL_EXIT_50%
INDHOTEL,2024-01-18,2024-01-30,460.85,490.28,6.38,TIME_EXIT_RUNNER
INDUSINDBK,2022-10-04,2022-10-11,1192.78,1139.31,-4.48,STOP_LOSS
INDUSINDBK,2025-12-09,2025-12-18,844.35,834.9,-1.12,TIME_EXIT
INDUSTOWER,2021-10-20,2021-10-25,286.46,272.8,-4.77,STOP_LOSS
INDUSTOWER,2023-09-13,2023-09-22,183.6,183.4,-0.11,TIME_EXIT
INDUSTOWER,2024-05-14,2024-05-23,339.5,343.8,1.27,TIME_EXIT
INDUSTOWER,2025-11-24,2025-12-03,400.1,404.65,1.14,TIME_EXIT
INDUSTOWER,2026-01-08,2026-01-19,430.85,428.4,-0.57,TIME_EXIT
INDUSTOWER,2026-01-27,2026-01-30,422.55,444.3,5.15,PARTIAL_EXIT_50%
INDUSTOWER,2026-01-27,2026-02-05,422.55,442.4,4.7,TIME_EXIT_RUNNER
INFY,2022-01-10,2022-01-19,1661.43,1676.06,0.88,TIME_EXIT
